,cop_per_kwh
1008,129.46894
1009,132.66894
1010,132.66894
1011,132.66894
1012,132.66894
1013,133.16894
1014,133.16894
1015,134.96894
1016,135.86894
1017,137.96794
1018,137.96894
1019,137.96794
1020,137.96794
1021,137.96894
1022,137.96894
1023,137.96794
1024,137.96794
1025,135.86894
1026,137.96894
1027,138.96894
1028,138.96894
1029,137.96794
1030,135.86894
1031,133.16894
1032,129.13704
1033,132.35104
1034,132.35104
1035,132.35104
1036,132.35104
1037,132.43704
1038,132.43704
1039,133.73704
1040,133.73704
1041,133.73704
1042,133.73704
1043,135.03704
1044,135.03704
1045,134.23704
1046,135.03704
1047,135.03704
1048,134.23704
1049,133.73704
1050,135.03704
1051,139.33704
1052,139.33704
1053,133.73704
1054,133.73704
1055,132.43704
1056,69.31061
1057,126.66661
1058,126.66661
1059,126.66661
1060,126.66661
1061,134.66661
1062,136.78161
1063,136.86661
1064,136.86661
1065,136.86661
1066,136.86661
1067,137.66661
1068,136.86661
1069,136.86661
1070,145.66661
1071,145.66661
1072,137.66661
1073,136.86661
1074,145.66661
1075,145.66661
1076,145.66661
1077,137.66661
1078,136.86661
1079,134.66661
1080,123.58257
1081,126.58257
1082,123.58257
1083,123.58257
1084,127.58257
1085,128.58257
1086,128.58257
1087,136.78257
1088,136.69757
1089,136.78257
1090,145.58257
1091,145.58257
1092,136.78257
1093,136.78257
1094,145.58257
1095,158.58257
1096,136.78257
1097,136.78257
1098,136.78257
1099,183.58257
1100,136.78257
1101,136.78257
1102,136.78257
1103,128.58257
1104,125.52892
1105,125.52892
1106,125.52892
1107,125.52892
1108,125.52892
1109,133.64292
1110,133.64292
1111,133.64292
1112,133.72892
1113,133.72892
1114,133.72892
1115,150.52892
1116,150.52892
1117,150.52892
1118,150.52892
1119,150.52892
1120,150.52892
1121,133.72892
1122,150.52892
1123,150.52892
1124,150.52892
1125,133.72892
1126,133.72892
1127,133.64292
1128,124.91775
1129,129.92775
1130,129.92775
1131,129.92775
1132,129.92775
1133,129.92775
1134,129.92775
1135,132.03175
1136,132.03175
1137,132.03175
1138,132.91775
1139,132.91775
1140,132.91775
1141,132.91775
1142,132.91775
1143,132.03175
1144,132.03175
1145,132.03175
1146,132.91775
1147,144.91675
1148,132.91775
1149,132.03175
1150,132.03175
1151,129.92775
1152,126.33193
1153,126.33193
1154,126.33193
1155,126.33193
1156,126.33193
1157,126.33193
1158,126.33193
1159,126.33193
1160,126.33193
1161,126.33193
1162,126.33193
1163,127.23193
1164,127.24193
1165,127.24193
1166,127.24193
1167,127.23193
1168,127.23193
1169,127.23193
1170,127.24193
1171,136.34593
1172,129.23093
1173,127.24193
1174,127.24193
1175,126.33193
1176,127.63012
1177,127.63012
1178,127.63012
1179,127.63012
1180,127.63012
1181,130.93012
1182,130.93012
1183,130.93012
1184,137.54412
1185,137.54412
1186,137.54412
1187,137.54412
1188,137.54412
1189,137.54412
1190,168.43012
1191,137.54412
1192,137.54412
1193,137.54412
1194,137.54412
1195,168.43012
1196,137.54412
1197,137.54412
1198,130.93012
1199,130.93012
1200,127.49213
1201,127.49213
1202,126.79213
1203,127.49213
1204,129.70613
1205,129.70613
1206,129.70613
1207,129.70613
1208,130.09213
1209,130.09213
1210,130.09213
1211,167.59213
1212,131.59213
1213,131.59213
1214,167.59213
1215,167.59213
1216,167.59213
1217,130.09213
1218,167.59213
1219,177.59213
1220,167.59213
1221,131.59213
1222,130.09213
1223,129.70613
1224,127.30413
1225,127.30413
1226,127.30413
1227,127.30413
1228,127.30413
1229,135.19013
1230,135.19013
1231,135.19013
1232,167.19013
1233,179.19013
1234,179.19013
1235,187.19013
1236,179.19013
1237,179.19013
1238,179.19013
1239,179.19013
1240,179.19013
1241,167.19013
1242,179.19013
1243,187.19013
1244,179.19013
1245,167.19013
1246,135.19013
1247,135.19013
1248,132.84288
1249,132.84288
1250,132.84288
1251,132.84288
1252,132.84288
1253,142.79288
1254,142.79288
1255,142.79288
1256,142.79288
1257,146.84288
1258,146.84288
1259,175.84288
1260,146.84288
1261,146.84288
1262,175.84288
1263,175.84288
1264,146.84288
1265,142.79288
1266,146.84288
1267,175.84288
1268,146.84288
1269,142.84288
1270,142.79288
1271,132.84288
1272,141.70404
1273,141.70404
1274,141.70404
1275,141.70404
1276,141.70404
1277,141.70404
1278,141.90404
1279,141.90404
1280,143.90404
1281,143.90404
1282,143.90404
1283,145.90404
1284,143.90404
1285,143.90404
1286,145.90404
1287,145.90404
1288,145.90404
1289,143.90404
1290,145.90404
1291,145.90404
1292,145.90404
1293,143.90404
1294,143.90404
1295,141.90404
1296,133.52864
1297,133.52864
1298,133.52864
1299,133.52864
1300,133.52864
1301,133.52864
1302,133.52864
1303,137.52864
1304,141.82864
1305,142.42864
1306,142.42864
1307,142.42864
1308,142.42864
1309,142.42864
1310,142.42864
1311,142.42864
1312,142.42864
1313,141.82864
1314,142.42864
1315,146.52864
1316,142.42864
1317,142.42864
1318,141.52864
1319,133.52864
1320,141.03907
1321,141.03907
1322,140.53907
1323,140.53907
1324,140.53907
1325,140.53907
1326,140.53907
1327,140.53907
1328,142.48907
1329,142.48907
1330,142.53907
1331,142.53907
1332,142.53907
1333,142.53907
1334,142.53907
1335,142.53907
1336,142.53907
1337,142.53907
1338,142.53907
1339,147.63907
1340,147.63907
1341,142.53907
1342,142.53907
1343,142.48907
1344,144.13259
1345,144.13259
1346,144.13259
1347,144.13259
1348,144.18159
1349,147.28259
1350,147.28259
1351,147.28259
1352,148.18259
1353,150.18259
1354,150.18259
1355,150.18259
1356,150.18259
1357,150.18259
1358,150.18259
1359,150.18259
1360,150.18259
1361,150.18259
1362,150.18259
1363,168.18259
1364,188.18259
1365,150.18259
1366,148.18259
1367,147.28259
1368,143.5848
1369,143.5848
1370,143.5848
1371,144.8848
1372,144.8848
1373,145.8848
1374,145.8848
1375,147.8848
1376,148.8848
1377,148.8848
1378,148.8848
1379,162.8848
1380,148.8848
1381,148.8848
1382,162.8848
1383,162.8848
1384,148.8848
1385,148.8848
1386,148.8848
1387,162.8848
1388,162.8848
1389,148.8848
1390,148.8848
1391,144.8848
1392,141.35586
1393,141.35586
1394,141.35586
1395,141.35586
1396,141.35586
1397,145.85586
1398,145.35586
1399,145.85586
1400,145.95586
1401,145.95586
1402,145.95586
1403,145.95586
1404,145.95586
1405,145.95586
1406,145.95586
1407,145.95586
1408,145.95586
1409,145.95586
1410,145.95586
1411,176.35586
1412,145.95586
1413,145.95586
1414,145.85586
1415,145.35586
1416,133.73476
1417,133.73476
1418,133.73476
1419,133.73476
1420,133.73476
1421,137.73476
1422,138.73476
1423,138.73476
1424,140.63476
1425,138.73476
1426,140.63476
1427,140.63476
1428,140.63476
1429,140.63476
1430,140.63476
1431,140.63476
